               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.037116,             0.03103,            0.049558,              0.6338,             0.31792,             0.28466,             0.16476,            0.031676,            0.019945,            0.045961,            0.005512,            0.005512,            0.005512
                 138,            0.036532,            0.031428,            0.047257,              0.6358,             0.32522,             0.28432,              0.1794,            0.029031,            0.019573,            0.045811,            0.005479,            0.005479,            0.005479
                 139,            0.034007,            0.027973,            0.046191,             0.63663,             0.32753,               0.289,             0.16993,             0.03478,            0.020549,            0.045648,            0.005446,            0.005446,            0.005446
                 140,             0.03903,            0.032456,            0.048062,             0.63435,             0.33432,             0.29115,             0.20526,            0.026753,            0.019463,            0.045583,            0.005413,            0.005413,            0.005413
                 141,             0.03419,            0.029532,            0.048385,             0.63727,             0.33427,              0.2913,             0.19949,            0.026816,            0.019481,            0.045523,             0.00538,             0.00538,             0.00538
                 142,            0.032425,            0.026249,            0.046467,             0.63301,             0.33622,             0.28322,             0.15867,            0.032487,            0.020049,            0.045242,            0.005347,            0.005347,            0.005347
                 143,            0.039298,            0.031126,            0.052595,             0.63199,             0.32624,             0.28821,               0.192,            0.028039,            0.019401,            0.045221,            0.005314,            0.005314,            0.005314
                 144,            0.034109,            0.030303,            0.048291,             0.64121,             0.30412,             0.28951,             0.17222,            0.031328,             0.01989,             0.04513,            0.005281,            0.005281,            0.005281
                 145,            0.039257,             0.03276,              0.0494,               0.651,             0.30284,             0.29257,             0.20662,            0.026913,              0.0193,            0.044965,            0.005248,            0.005248,            0.005248
                 146,            0.036719,            0.032164,            0.049553,             0.64913,             0.30823,               0.292,             0.19354,            0.029263,            0.019487,            0.044835,            0.005215,            0.005215,            0.005215
                 147,             0.03526,             0.02722,            0.049325,             0.63896,             0.31124,              0.2978,             0.17972,            0.032038,            0.019783,            0.044555,            0.005182,            0.005182,            0.005182
                 148,            0.036663,             0.02798,            0.048556,              0.6498,             0.32565,             0.29957,             0.20516,            0.027391,            0.019085,            0.044525,            0.005149,            0.005149,            0.005149
                 149,            0.035479,            0.028589,            0.049305,             0.65654,             0.33222,             0.30142,             0.20453,            0.026203,            0.019005,            0.044425,            0.005116,            0.005116,            0.005116
                 150,            0.034983,            0.034249,            0.049328,             0.64567,             0.34307,             0.29883,             0.17709,            0.031302,            0.019612,            0.044097,            0.005083,            0.005083,            0.005083
                 151,             0.03626,            0.028571,            0.048061,             0.65063,              0.3338,             0.30509,             0.21214,            0.026103,            0.018921,            0.043995,             0.00505,             0.00505,             0.00505
                 152,            0.033803,             0.02897,            0.046945,             0.63069,             0.34746,             0.29891,             0.18175,            0.030789,            0.019556,            0.043863,            0.005017,            0.005017,            0.005017
                 153,            0.038846,            0.033389,             0.04479,             0.64708,             0.33922,              0.3146,             0.20978,            0.028154,            0.019164,            0.043668,            0.004984,            0.004984,            0.004984
                 154,            0.037378,            0.029044,             0.04757,             0.65253,             0.34524,             0.31446,             0.19733,            0.030482,             0.01941,            0.043536,            0.004951,            0.004951,            0.004951
                 155,            0.035905,            0.029597,            0.047636,             0.65239,             0.33296,              0.3164,             0.17997,            0.033122,            0.019611,            0.043374,            0.004918,            0.004918,            0.004918
                 156,            0.040598,            0.030585,            0.047608,             0.65556,             0.31083,             0.32056,             0.21508,            0.027321,            0.018792,            0.043351,            0.004885,            0.004885,            0.004885
                 157,            0.036515,            0.032476,            0.045558,             0.66524,             0.31361,             0.32243,             0.22882,            0.026652,            0.018708,            0.043341,            0.004852,            0.004852,            0.004852
                 158,            0.035831,            0.028296,            0.047693,             0.66475,              0.3129,             0.33085,              0.2121,            0.028663,            0.018961,            0.043281,            0.004819,            0.004819,            0.004819
                 159,            0.034214,             0.03063,            0.046349,             0.69866,             0.32266,             0.32502,             0.22733,            0.026123,            0.018802,            0.043183,            0.004786,            0.004786,            0.004786
                 160,            0.030926,            0.028485,             0.04786,             0.65378,             0.33105,             0.32269,             0.21619,             0.03206,             0.01963,            0.042963,            0.004753,            0.004753,            0.004753
                 161,            0.039529,            0.033721,            0.046435,             0.67321,             0.31644,             0.32946,             0.22699,            0.028604,            0.019163,            0.042944,             0.00472,             0.00472,             0.00472
